EventLevelName,EventID,EventCategory,SecurityEvent
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4688,13312,0
Information,4688,13312,0
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4688,13312,0
Information,4688,13312,0
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4776,14336,0
Information,4625,12544,1
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4702,12804,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4776,14336,0
Information,4625,12544,1
Information,4776,14336,0
Information,4625,12544,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4776,14336,0
Information,4625,12544,1
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4673,13056,1
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4673,13056,1
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4957,13571,0
Information,4957,13571,0
Information,4957,13571,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4673,13056,1
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4673,13056,1
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,4673,13056,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4662,12804,0
Information,4662,12804,0
Information,4662,12804,0
Information,4662,12804,0
Information,4662,12804,0
Information,4662,12804,0
Information,4662,12804,0
Information,4662,12804,0
Information,4662,12804,0
Information,4662,12804,0
Information,4662,12804,0
Information,4688,13312,0
Information,4662,12804,0
Information,4662,12804,0
Information,4662,12804,0
Information,4662,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4702,12804,0
Information,4673,13056,1
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4702,12804,0
Information,4957,13571,0
Information,4957,13571,0
Information,4957,13571,0
Information,4957,13571,0
Information,4957,13571,0
Information,4957,13571,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4957,13571,0
Information,4957,13571,0
Information,4957,13571,0
Information,4688,13312,0
Information,4688,13312,0
Information,4957,13571,0
Information,4957,13571,0
Information,4957,13571,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4701,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4697,12289,1
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4673,13056,1
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,4673,13056,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,4702,12804,0
Information,4702,12804,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4702,12804,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,5379,13824,1
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4702,12804,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4702,12804,0
Information,4624,12544,0
Information,4627,12554,0
Information,4672,12548,1
Information,4688,13312,0
Information,4688,13312,0
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4799,13826,1
Information,4799,13826,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4798,13824,1
Information,4688,13312,0
Information,4688,13312,0
Information,4702,12804,0
Information,4688,13312,0
Information,4673,13056,1
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
Information,4688,13312,0
